designation,ra,dec,j_m
19350453-3827454,293.768885,-38.462627,6.894
19325350-3856567,293.222949,-38.949085,6.641
19383589-3937187,294.649582,-39.621864,5.976
19362575-3943094,294.107311,-39.719288,6.506
19332954-3844230,293.373121,-38.739738,6.37
19352555-3904186,293.856474,-39.071838,6.825
19274329-4005500,291.930401,-40.097248,6.138
19290074-4019185,292.253084,-40.321819,6.149
19280556-4050050,292.023191,-40.83474,6.19
19285856-4019268,292.244025,-40.324135,6.872
19281045-4027406,292.043553,-40.461292,6.791
19375038-4143409,294.459922,-41.728039,6.726
19355880-4104496,293.995019,-41.080448,6.379
19355302-4126459,293.970942,-41.446087,6.785
19373670-4130319,294.402954,-41.508884,6.874
19373938-4127296,294.414111,-41.458244,6.812
19390115-4107415,294.754806,-41.128201,6.419
19352540-3951286,293.855834,-39.85796,6.735
19361197-4012412,294.049909,-40.21146,6.674
19363660-4006271,294.152522,-40.107529,6.927
19314825-4013173,292.951051,-40.221478,6.478
19340848-4002046,293.535369,-40.03463,5.685
19381482-0215442,294.561762,-2.262291,6.79
19411842-0141305,295.326759,-1.691819,6.927
19405504-0152123,295.229356,-1.870087,6.49
19392568-0212365,294.857037,-2.210145,6.709
19380914-0200522,294.538113,-2.014521,6.941
19413468-1036548,295.394524,-10.615235,6.782
19402661-1035552,295.110875,-10.598693,6.712
19391435-1036580,294.809814,-10.616135,6.405
19374947-1110112,294.456151,-11.169798,6.727
19382562-1108536,294.60676,-11.148224,6.233
19395444-1115067,294.976835,-11.251876,6.761
19453076-0936374,296.378178,-9.610415,6.793
19430973-0920314,295.790543,-9.342066,6.802
19435307-0923544,295.971163,-9.398472,6.117
19434980-0937322,295.957536,-9.625619,6.522
19372005-0921102,294.333559,-9.352838,6.191
19364565-1026362,294.190241,-10.443408,6.891
19383279-0957143,294.636639,-9.95398,6.83
19374301-0958279,294.429222,-9.974437,6.762
19404902-0909261,295.204278,-9.157271,6.849
19410669-0925171,295.277907,-9.421418,6.579
19411863-0920450,295.327645,-9.345857,6.657
19391207-0947461,294.800304,-9.796152,6.85
19400034-0933570,295.001441,-9.565859,6.626
19395308-1028370,294.971186,-10.476958,6.409
19543221-0622434,298.634249,-6.378737,6.326
19525479-0614268,298.228297,-6.240796,6.644
19532119-0648502,298.338306,-6.813972,6.206
19523551-0708039,298.14797,-7.134424,6.606
19525025-0627406,298.209387,-6.461297,5.998
19454509-0613228,296.437888,-6.223016,6.555
19462815-0711152,296.617302,-7.18756,6.902
19501780-0609111,297.574177,-6.153109,6.371
19495342-0617458,297.472612,-6.296057,6.797
19475106-0644130,296.962774,-6.736957,6.79
19472087-0620351,296.836967,-6.343086,6.062
19470803-0809102,296.783485,-8.152838,5.972
19485421-0722576,297.225905,-7.382673,5.73
19474257-0720476,296.927376,-7.346568,5.651
19503013-0710404,297.625579,-7.177912,6.356
19504418-0608299,297.684123,-6.141653,6.966
19351508-0629038,293.81284,-6.484413,6.293
19344357-0717437,293.681558,-7.295484,6.706
19343024-0647113,293.626001,-6.786473,6.16
19390907-0607161,294.787808,-6.121143,6.872
19375057-0608375,294.460726,-6.143753,6.201
19360602-0849069,294.025122,-8.818594,6.906
19360343-0847285,294.014322,-8.79127,6.438
19370946-0830588,294.289421,-8.516346,6.589
19380344-0752537,294.514355,-7.881593,6.309
19363701-0737108,294.154221,-7.619668,6.255
19371242-0803243,294.301765,-8.056764,6.255
19442876-0610387,296.119868,-6.17744,6.181
19431414-0607088,295.808942,-6.119131,6.469
19393881-0603494,294.911743,-6.06374,6.153
19411507-0612330,295.312809,-6.209168,6.361
19414831-0649462,295.451324,-6.829519,6.875
19403853-0638182,295.160561,-6.638402,6.891
19415685-0613378,295.486903,-6.227179,6.691
19422278-0615287,295.594936,-6.257997,6.91
19385803-0723497,294.74182,-7.397165,6.053
19383874-0723023,294.661441,-7.383994,6.947
19383434-0724347,294.643122,-7.409657,6.11
19392494-0713167,294.853937,-7.221316,6.17
19350421-0730419,293.767552,-7.511658,6.491
19353553-0718584,293.898046,-7.316246,6.06
19371163-0721598,294.298498,-7.366622,6.318
19384559-0710547,294.689961,-7.181863,6.177
19452485-0633409,296.353543,-6.56137,6.393
19441872-0636204,296.078024,-6.605687,6.917
19404512-0730443,295.188008,-7.512313,6.041
19452836-0701103,296.368208,-7.019531,6.484
19444969-0730131,296.207067,-7.503665,6.922
19434055-0659599,295.918987,-6.999978,6.777
19370381-0851159,294.265892,-8.854444,6.324
19403446-0817397,295.143612,-8.294384,6.965
19403522-0807067,295.146763,-8.118531,6.941
19400536-0758469,295.022358,-7.979713,6.494
19382397-0818478,294.599887,-8.313282,6.4
19455591-0844327,296.482964,-8.742435,6.373
19452048-0757189,296.335369,-7.955261,5.64
19460481-0824041,296.520058,-8.40114,6.821
19430328-0818266,295.763673,-8.3074,6.324
19424786-0836205,295.69945,-8.605703,6.57
19413743-0837443,295.40597,-8.628994,6.236
19445871-0742366,296.244663,-7.710184,6.645
19451853-0734273,296.327218,-7.574262,5.997
19434345-0737470,295.931057,-7.629733,6.825
19423028-0744144,295.626188,-7.737341,6.309
19431928-0809522,295.83037,-8.164504,6.198
20111887-0007353,302.828638,-0.126473,6.184
20082467-0017510,302.102811,-0.297504,5.541
20065038-0008009,301.709929,-0.133588,6.068
20080844-0021516,302.035185,-0.364342,6.473
20092409-0138176,302.350397,-1.638227,6.73
20075187-0215407,301.966165,-2.261313,6.003
20093390-0059532,302.391284,-0.998138,6.855
20083808-0025167,302.158689,-0.421315,6.59
20070825-0048105,301.784404,-0.802923,6.887
20082924-0057040,302.12186,-0.951126,6.88
19550091-0054540,298.753792,-0.915012,5.732
19545351-0203345,298.72296,-2.059597,6.672
20013914-0011562,300.413118,-0.198948,6.947
20012418-0027332,300.350755,-0.459225,6.492
19585818-0025146,299.742417,-0.420731,6.206
20001248-0032510,300.052011,-0.547525,6.86
19555699-0045034,298.987466,-0.750958,6.296
19544972-0114475,298.707175,-1.246541,6.989
11462107-2757488,176.587799,-27.963575,6.646
11461920-2809303,176.580033,-28.158438,6.137
11520764-2821042,178.03185,-28.351171,6.102
11462927-2712057,176.621959,-27.201605,6.224
11485714-2730352,177.238104,-27.509785,6.657
11334748-2327103,173.447874,-23.452871,5.933
11344774-2336044,173.698941,-23.601233,5.622
11333366-2548516,173.390274,-25.814358,6.852
11342823-2518529,173.617648,-25.314705,6.988
11392229-2453472,174.842907,-24.89646,5.931
11382253-2617334,174.593907,-26.292625,6.966
11362258-2645324,174.094104,-26.759008,6.384
11425043-2751524,175.710129,-27.86458,6.414
11400018-2638261,175.000782,-26.640606,6.146
11412246-2640018,175.343591,-26.667179,6.587
10183063-2502169,154.627648,-25.038031,6.211
10244968-2547383,156.207019,-25.793995,6.648
10232999-2603226,155.874999,-26.056305,6.335
10222752-2432144,155.614682,-24.537334,6.929
10225926-2420013,155.74693,-24.333696,6.85
10215052-2426092,155.460503,-24.43589,6.323
10241385-2436235,156.057722,-24.606546,5.846
10192434-2517153,154.851424,-25.287586,6.75
10202965-2525172,155.12357,-25.421469,6.971
10343213-2840238,158.633888,-28.673288,7.0
10323145-2902409,158.131057,-29.044712,6.787
10260408-2659143,156.517015,-26.987326,6.55
10285133-2713531,157.213888,-27.231441,6.887
10391310-2426597,159.804592,-24.449917,6.991
10372391-2503497,159.349639,-25.063822,6.878
10373569-2451273,159.398726,-24.857597,6.708
10383299-2432082,159.637479,-24.535637,6.256
10310497-2410473,157.770746,-24.179815,6.945
10322171-2432167,158.090492,-24.537998,6.635
10315843-2433124,157.993496,-24.553446,6.438
10373882-2551453,159.411757,-25.862595,6.466
10360449-2640313,159.018709,-26.675379,5.376
10320552-2604162,158.023034,-26.071169,6.846
10350197-2622542,158.758239,-26.381733,5.657
10274607-2502503,156.94197,-25.047316,6.299
10250476-2621289,156.269846,-26.358055,5.772
10252177-2635559,156.340747,-26.598886,6.158
10291294-2652006,157.303955,-26.86685,6.926
10261042-2541527,156.543441,-25.697979,6.828
10260656-2608564,156.527336,-26.149015,6.542
10305138-2629015,157.71412,-26.483776,5.584
10590090-3437338,164.753781,-34.62606,6.387
10590642-3422048,164.776759,-34.368004,5.747
11002043-3307288,165.085144,-33.12468,6.546
10593364-3304307,164.890187,-33.075207,6.002
10531486-3259189,163.311949,-32.98859,6.277
10512673-3238275,162.861381,-32.640976,6.504
10564731-3320110,164.197146,-33.336407,6.682
10523006-3010582,163.125263,-30.18284,6.247
10551830-3037091,163.826289,-30.6192,6.513
10531467-3005469,163.311145,-30.096378,6.986
10565212-3112170,164.21718,-31.204737,6.705
10573917-3015358,164.413213,-30.259956,6.898
10391476-2953351,159.811502,-29.893101,6.289
10433948-3112145,160.914504,-31.20405,6.265
10450708-3120145,161.27952,-31.337374,5.481
10491087-2945524,162.295296,-29.764578,6.199
10464694-3020552,161.695619,-30.348688,6.552
10455428-3051198,161.47619,-30.855516,5.945
10493541-2959398,162.397562,-29.994398,6.872
10490051-3103327,162.252166,-31.059101,6.396
10491224-3038260,162.301028,-30.640581,6.891
10492390-3218271,162.349605,-32.307552,6.549
10534786-3219364,163.449437,-32.326794,6.981
10483425-3115525,162.142738,-31.264585,6.808
10481410-3141162,162.058767,-31.687847,5.777
10491780-3130151,162.324204,-31.504204,6.319
10594250-3214222,164.927123,-32.239502,6.809
10553439-3145298,163.893308,-31.758286,6.867
10551043-3148084,163.793477,-31.802359,6.829
10530003-3159526,163.250144,-31.997957,6.39
10494637-3124510,162.443249,-31.414183,6.288
11065766-2409091,166.740269,-24.15255,5.902
11025517-2359147,165.729882,-23.987417,6.142
10560191-2402312,164.007998,-24.042023,6.152
10571755-2442308,164.323145,-24.708578,5.987
10574915-2402168,164.45481,-24.038027,6.971
10583418-2412018,164.642451,-24.200506,6.196
10583323-2432418,164.638494,-24.544968,6.191
11030504-2534301,165.77101,-25.575041,6.115
11024199-2553144,165.674972,-25.887342,5.717
11034013-2555577,165.917227,-25.932709,6.567
10504160-2531214,162.673337,-25.522633,6.652
10534056-2407125,163.419031,-24.120153,6.475
10525614-2445084,163.233946,-24.752344,5.913
11025232-2843309,165.718019,-28.725262,6.96
11044934-2650184,166.205592,-26.838448,6.68
11032360-2745231,165.848342,-27.756439,6.525
11022445-2649535,165.601901,-26.831541,5.592
10581433-2658591,164.55971,-26.983089,6.616
10593146-2728579,164.881123,-27.482769,6.6
10584231-2733348,164.67632,-27.559687,6.816
10524231-2634440,163.176306,-26.578909,6.41
10523977-2552525,163.165735,-25.881252,6.732
10523270-2558213,163.136267,-25.972588,6.578
10542041-2619547,163.585058,-26.331879,6.532
11030456-2624574,165.769032,-26.415953,6.704
10595372-2531529,164.973838,-25.531387,6.037
11000092-2544357,165.003844,-25.743252,6.931
11003432-2551228,165.143027,-25.856361,6.431
10592413-2646065,164.850561,-26.768486,6.129
10594043-2637458,164.918488,-26.62941,6.905
10544125-2448385,163.671897,-24.810713,6.949
10564237-2620447,164.176573,-26.345776,6.885
18451007+1031187,281.291988,10.521872,6.304
18461533+1028580,281.563876,10.482781,6.491
18440831+1050353,281.034652,10.84314,6.944
18441023+1050067,281.042627,10.835196,6.881
18443303+1116428,281.137645,11.278568,6.271
18443453+1055585,281.143881,10.932923,6.49
18374963+1126504,279.456821,11.447344,5.755
18371260+1125174,279.30254,11.421523,6.499
18372053+1121209,279.335549,11.355831,6.695
18384994+1043486,279.708091,10.730169,6.973
18401120+1120137,280.046691,11.337143,6.938
18381842+1126099,279.576768,11.436097,6.864
18395688+1112229,279.987038,11.206377,6.83
18384349+1102568,279.681212,11.04913,6.659
18461989+0915169,281.582902,9.254697,6.894
18453438+0918037,281.393281,9.301033,6.868
18450734+0902432,281.280616,9.045336,6.59
18460110+0949062,281.504607,9.818403,6.409
18460714+0924420,281.529783,9.411688,6.954
18461510+0943295,281.562953,9.72487,6.616
18420719+0940540,280.52998,9.681683,6.231
18420492+1001369,280.52052,10.026924,6.358
18413525+0952142,280.396913,9.870619,5.984
18425464+0928464,280.727667,9.479557,6.82
18432027+0938134,280.834465,9.63706,6.179
18424641+0935234,280.693412,9.589855,6.913
18431673+0958343,280.819718,9.976208,5.785
18424814+0949316,280.700605,9.825462,6.04
18423901+0947234,280.662563,9.78985,6.674
18411803+1007193,280.325144,10.12205,6.495
18431474+1007063,280.811432,10.118427,6.177
18421728+1003462,280.572024,10.062857,6.096
18412683+1114442,280.361813,11.245619,6.418
18420846+1032215,280.53527,10.539324,6.401
