designation,ra,dec,j_m
20584826+2058097,314.701085,20.969374,6.164
20272989+1247540,306.874577,12.798358,6.372
20271262+1222570,306.80259,12.382522,6.722
20271296+1226465,306.804039,12.446263,6.901
20324102+1221343,308.170938,12.359547,6.71
20310993+1215474,307.791375,12.263187,6.93
20293795+1332419,307.408126,13.544991,6.489
20290876+1240515,307.286529,12.680999,6.637
20414599+1231071,310.441653,12.518663,6.875
20402094+1233453,310.087274,12.562605,6.822
20382458+1308160,309.602433,13.137779,6.399
20382092+1319530,309.587177,13.3314,6.19
20375317+1329004,309.471578,13.483467,6.201
20341707+1219064,308.571125,12.31846,6.521
20364256+1229461,309.177364,12.496156,6.502
20365776+1259194,309.240693,12.98874,6.605
20380760+1238548,309.531685,12.648559,6.351
20380803+1255525,309.533491,12.931273,6.481
20334055+1513300,308.418987,15.225022,5.666
20315786+1442413,307.991095,14.711499,6.995
20313554+1442272,307.898093,14.707558,6.574
20315616+1453210,307.984035,14.889193,5.858
20351901+1442075,308.829231,14.702106,6.481
20335825+1442458,308.492715,14.712742,5.99
20341746+1410260,308.57276,14.1739,6.767
20343713+1415556,308.65471,14.265462,6.934
20334168+1415122,308.423701,14.253405,6.447
20341533+1427407,308.563886,14.461309,6.768
20342534+1439509,308.605615,14.664158,5.984
20325214+1417366,308.217271,14.293517,6.714
20312847+1327101,307.868663,13.452822,6.039
20303997+1317410,307.666545,13.294723,6.876
20352462+1302181,308.8526,13.038385,6.619
20324049+1322073,308.168717,13.368706,6.614
20550688+1310366,313.778675,13.17684,6.826
20531417+1249146,313.309052,12.820738,6.628
20561299+1241261,314.054133,12.690599,6.407
20564579+1256235,314.190802,12.93988,6.169
20522242+1503301,313.093452,15.058383,5.715
20520428+1453417,313.017854,14.894943,6.309
20493905+1357465,312.412724,13.962944,6.247
20485732+1440114,312.238857,14.669854,6.93
20545032+1400454,313.709671,14.012627,6.472
20505312+1408113,312.721365,14.136493,6.261
20510374+1443245,312.765611,14.723476,6.608
20493777+1232425,312.407399,12.545154,5.112
20451883+1311332,311.328459,13.192568,6.915
20474006+1304595,311.916929,13.083202,5.991
20473787+1259104,311.907824,12.986248,6.278
20464724+1306024,311.696865,13.100673,5.829
20494443+1350427,312.435165,13.845197,6.518
20495472+1333024,312.478032,13.550679,6.238
20510590+1304388,312.774585,13.077446,6.444
20525070+1348534,313.211291,13.81484,6.787
20525813+1342146,313.242241,13.704082,6.755
20523236+1311497,313.134861,13.197159,6.308
20515740+1310186,312.989185,13.171845,6.558
20410264+1720031,310.261032,17.334209,5.976
20425082+1714275,310.711775,17.240997,6.35
20424881+1732218,310.703379,17.539413,6.16
20413674+1725186,310.403117,17.421852,6.356
20405402+1734154,310.225122,17.570972,6.822
20340856+1549346,308.535691,15.826293,5.77
20353232+1600387,308.884695,16.010756,6.757
20402091+1542382,310.087143,15.710631,6.211
20403530+1538354,310.147114,15.643191,5.862
20371729+1635299,309.322048,16.591648,6.53
20353844+1612455,308.910174,16.212646,6.875
20364158+1609592,309.173291,16.166471,6.297
20364741+1556443,309.197564,15.945655,6.224
20375462+1556108,309.477585,15.936354,6.917
20481953+1612217,312.081404,16.206034,6.956
20493649+1559310,312.402056,15.991969,5.967
20483047+1622391,312.12697,16.377537,6.922
20483113+1626105,312.129719,16.436274,6.091
20434749+1609371,310.947881,16.16032,6.775
02014113+5725311,30.421393,57.425308,6.65
01575347+5737351,29.472814,57.626438,6.79
02045737+5752124,31.239042,57.870117,6.915
02044201+5730331,31.175053,57.509212,5.922
02042148+5800532,31.089534,58.014793,6.42
02030946+5748569,30.789439,57.815823,6.584
02005226+5749369,30.217765,57.82692,6.734
01534605+5629484,28.441909,56.496788,6.264
01544913+5647328,28.704725,56.792446,6.969
02005112+5658171,30.213022,56.971443,6.996
02035980+5724389,30.999182,57.410816,6.627
02030745+5718131,30.781079,57.303654,6.599
00022464+6709460,0.60268,67.162796,6.118
00014891+6618219,0.453813,66.306084,6.065
00085977+6655092,2.24908,66.919235,6.854
00102956+6702310,2.623178,67.041946,6.981
00042562+6706083,1.106771,67.102318,6.485
00002047+6513134,0.085313,65.220398,6.093
00003626+6548494,0.151124,65.813728,6.817
00014974+6527200,0.45725,65.455566,6.709
00050007+6525297,1.250333,65.424927,5.324
00163664+6655292,4.152688,66.924797,6.628
00150772+6620379,3.782173,66.343887,6.785
00214260+6627524,5.427509,66.464577,6.489
00142103+6612156,3.587626,66.204346,5.503
00102891+6610113,2.620495,66.16983,6.436
00151285+6709253,3.803545,67.157043,5.978
00134376+6655126,3.432343,66.920174,6.335
00014083+6604161,0.420148,66.071144,6.784
00032009+6617267,0.833744,66.290756,6.639
00134273+6627495,3.428062,66.463776,6.989
00114840+6620556,2.951706,66.348801,6.765
00003883+6157307,0.161796,61.958538,6.936
00004167+6210331,0.173663,62.175865,6.072
00041364+6217156,1.056846,62.287674,5.03
00030300+6212041,0.762536,62.20116,6.869
00072828+6257568,1.867865,62.965801,6.937
00084856+6249467,2.202367,62.829662,5.99
00001241+6312137,0.051722,63.203827,6.265
00014997+6252034,0.458228,62.867619,6.684
00054272+6300410,1.428016,63.011402,6.382
00053265+6229454,1.386045,62.495968,6.58
00272570+6401569,6.85711,64.032494,6.926
00262082+6402135,6.586755,64.037094,6.167
00222699+6402005,5.612475,64.033485,6.658
00210446+6352069,5.268592,63.868599,6.588
00135892+6344312,3.495526,63.742016,6.05
00150471+6350382,3.769632,63.843948,6.378
00163058+6329212,4.127431,63.489235,6.636
00195943+6346494,4.997635,63.780399,6.135
00200974+6408099,5.040606,64.136093,6.294
00181600+6400548,4.566687,64.015236,6.737
00190405+6355321,4.766881,63.925606,6.919
00171767+6349226,4.323647,63.822945,6.747
00001519+6436263,0.063302,64.607323,6.032
00014363+6409101,0.431794,64.152809,6.447
00032571+6338257,0.857155,63.640488,5.41
00122156+6424432,3.089846,64.412025,6.859
00105580+6422580,2.732533,64.38279,6.835
00082424+6408319,2.101002,64.142204,6.488
00051438+6358409,1.309923,63.97805,6.252
00040667+6418519,1.027826,64.314438,6.8
00122181+6412129,3.090912,64.203598,6.554
00084769+6354252,2.19873,63.907024,6.916
00105344+6351252,2.72268,63.857014,6.351
00060337+6340467,1.514046,63.679661,6.892
00050446+6323522,1.268604,63.39785,6.808
00085340+6316514,2.222523,63.280949,6.251
00122563+6343256,3.106796,63.723778,6.402
00101214+6328444,2.550585,63.479012,6.232
00072733+6329556,1.863898,63.498779,6.694
00571105+6544423,14.296068,65.74511,6.103
00472179+6608047,11.840818,66.134659,6.928
00512558+6558471,12.856611,65.979752,5.888
00312524+6631105,7.855206,66.519608,6.369
00342586+6555295,8.607777,65.924881,6.667
00340909+6602553,8.53788,66.048714,6.307
00352331+6620058,8.847162,66.334946,6.716
00345072+6609293,8.711364,66.158165,6.569
00363535+6509152,9.147331,65.154228,6.087
00362522+6457035,9.105091,64.950996,6.269
00362342+6436063,9.097617,64.601768,6.023
00391932+6457158,9.83052,64.954391,5.7
00382627+6456099,9.60949,64.936096,6.974
00293429+6458383,7.392909,64.977333,6.652
00344276+6540105,8.67819,65.669609,6.923
00415055+6532118,10.46065,65.536621,6.367
00421928+6530042,10.580346,65.501167,6.946
00413462+6552056,10.394279,65.868233,5.919
00372780+6550132,9.365837,65.837013,6.891
00263680+6405373,6.653352,64.093704,6.659
00260447+6458314,6.518664,64.97541,6.55
00195161+6417167,4.965058,64.287994,6.425
00210903+6449107,5.287633,64.819641,6.94
00251016+6438193,6.292341,64.638695,5.463
00214193+6608298,5.424732,66.141617,6.359
00285582+6530150,7.232609,65.504189,5.816
00271663+6540487,6.819317,65.680206,6.294
00222386+6547513,5.599455,65.797607,6.537
00230451+6608054,5.76882,66.13485,5.818
00101046+6438481,2.543594,64.646706,6.163
00105661+6456016,2.735908,64.933784,6.421
00072431+6452502,1.851315,64.880615,6.656
00091672+6504151,2.319693,65.070877,5.379
00171432+6528274,4.309672,65.474281,6.894
00255226+6523008,6.467788,65.383568,6.792
00221353+6525137,5.556396,65.420479,6.437
00223910+6516507,5.662935,65.280754,6.977
00191567+6508103,4.815329,65.1362,6.589
00021650+5645524,0.568768,56.764572,6.137
14510565-4318418,222.773552,-43.311619,6.328
14570709-4336274,224.27956,-43.60762,6.987
14554786-4258560,223.949448,-42.982231,6.828
14535923-4234553,223.496831,-42.582039,6.779
14533341-4234017,223.389211,-42.567162,6.77
14542015-4247420,223.583988,-42.795025,6.836
14550318-4320222,223.763271,-43.33952,6.987
14523338-4324287,223.139113,-43.40799,6.43
14540079-4335522,223.503321,-43.597839,6.459
14544650-4319197,223.693772,-43.322163,6.957
15104321-4343008,227.68007,-43.716915,6.361
15104160-4343475,227.673349,-43.72987,5.895
15092411-4313418,227.350483,-43.228291,6.954
15080109-4342449,227.004554,-43.712482,6.952
15083384-4333011,227.141017,-43.550331,6.526
15092185-4343031,227.341083,-43.717537,6.793
15055648-4213213,226.485338,-42.222584,6.961
15065803-4231567,226.741798,-42.532433,6.736
15065505-4253599,226.729389,-42.899982,6.214
15014775-4355328,225.448979,-43.925781,5.899
15015446-4354441,225.476924,-43.91227,6.456
15011648-4339311,225.318702,-43.658665,6.931
15043620-4353510,226.150842,-43.897507,6.051
15032602-4305215,225.858417,-43.08931,6.742
14594504-4348408,224.937695,-43.811337,5.673
14594208-4338151,224.925348,-43.637554,6.515
14592824-4312397,224.86768,-43.211033,5.94
15010198-4219495,225.258269,-42.330437,6.943
14575774-4233055,224.490612,-42.551533,6.19
14574753-4229501,224.448076,-42.497261,6.801
14590331-4234194,224.763807,-42.572067,6.38
15005168-4229372,225.215374,-42.493668,6.063
14593948-4300181,224.914523,-43.005043,6.885
14354129-4704199,218.922081,-47.072208,6.409
14371480-4647318,219.311684,-46.792194,6.253
14370366-4706506,219.265268,-47.114075,6.798
14462899-4726280,221.620831,-47.441124,5.598
14452325-4706075,221.346892,-47.102097,6.983
14432920-4702327,220.871688,-47.042439,6.812
14441098-4715176,221.045758,-47.25491,5.876
14382616-4626476,219.609001,-46.446568,6.551
14393665-4617579,219.902735,-46.299435,6.387
14433229-4625364,220.884568,-46.426792,6.282
14432824-4637193,220.867705,-46.62204,6.24
14423285-4645083,220.636877,-46.752323,5.69
14410067-4703382,220.252804,-47.060616,6.712
14413128-4709449,220.38035,-47.162479,6.702
14393597-4707285,219.899914,-47.124592,6.018
14582592-4720047,224.608032,-47.334652,6.846
14581384-4716311,224.557678,-47.275311,6.094
14583170-4726087,224.632098,-47.435757,5.463
14554926-4702149,223.95529,-47.037495,6.75
14563440-4657016,224.143374,-46.950462,5.7
14553515-4714287,223.896465,-47.241329,6.109
14562817-4721028,224.117389,-47.35078,5.871
14530479-4638140,223.269973,-46.637245,6.855
14551895-4637528,223.828965,-46.631351,5.564
14532267-4732282,223.344497,-47.541172,6.446
14492807-4702080,222.366992,-47.035572,6.685
14505197-4704052,222.716583,-47.068138,6.149
14492845-4716501,222.368573,-47.280594,6.487
14532053-4658242,223.335575,-46.973392,5.812
14511586-4523540,222.816106,-45.398357,6.633
14470827-4523211,221.784464,-45.389214,6.958
14455385-4448159,221.474388,-44.804428,6.739
14455763-4452030,221.490162,-44.867519,6.735
14505849-4625038,222.743734,-46.417725,6.791
14493053-4617173,222.377214,-46.288147,6.363
14505694-4621296,222.737282,-46.358242,6.812
14472382-4718028,221.849284,-47.3008,6.874
14454826-4651488,221.451085,-46.863567,6.728
14475111-4701083,221.962976,-47.018974,6.554
15235608-4703198,230.983698,-47.055527,6.955
15215228-4657021,230.467834,-46.950607,6.648
15213936-4648539,230.414012,-46.814995,6.81
15195266-4723010,229.969446,-47.383629,6.258
15205197-4706373,230.216549,-47.110378,6.499
15233423-4705533,230.892639,-47.098141,6.919
15223456-4708127,230.644017,-47.136883,5.988
15184668-4554294,229.694516,-45.908169,6.52
15174202-4723233,229.425093,-47.389809,6.731
15163212-4658270,229.133834,-46.974167,6.304
15155164-4714020,228.96519,-47.23391,6.971
15095211-4439106,227.467133,-44.652958,6.568
15105673-4441314,227.736385,-44.692059,6.26
15132632-4420337,228.359704,-44.34272,6.75
15124958-4430014,228.206621,-44.500389,5.22
15075281-4541178,226.970053,-45.688282,6.191
15075775-4534457,226.990651,-45.57938,6.455
15105139-4540233,227.714149,-45.673157,6.995
15113194-4516451,227.883119,-45.279213,5.558
15130945-4456166,228.289392,-44.937958,6.953
15125463-4457313,228.22764,-44.958717,6.253
15005670-4722023,225.236255,-47.367329,6.449
15051039-4725380,226.293327,-47.427223,7.0
15015695-4709121,225.487295,-47.153366,5.821
15115739-4718587,227.989127,-47.31633,6.999
15071452-4723439,226.810532,-47.395546,6.23
15091701-4725528,227.320914,-47.431343,6.745
15090064-4710106,227.252681,-47.169617,6.439
15063443-4627378,226.643468,-46.460522,6.585
15073511-4705598,226.896319,-47.099953,6.899
15065467-4714294,226.727795,-47.241501,6.823
15074087-4547140,226.920322,-45.787247,6.017
15104678-4604007,227.694944,-46.066872,6.734
15085102-4604366,227.212601,-46.076855,6.697
15124687-4719034,228.195315,-47.317619,6.832
15142760-4702168,228.615001,-47.038002,6.729
15174841-4555207,229.451746,-45.922417,6.619
20473839+1614184,311.909976,16.238453,6.573
20423783+1607422,310.657632,16.128407,6.185
20450028+1648054,311.251208,16.801527,6.803
20384013+1652116,309.667249,16.869902,6.706
20443888+1518484,311.162009,15.313456,5.924
20463483+1524033,311.64514,15.400927,6.71
20340338+1521137,308.514115,15.353827,6.296
20362428+1516202,309.101184,15.272287,6.809
20363624+1523052,309.151021,15.384789,6.194
20354175+1521568,308.923979,15.365804,6.069
20375287+1357325,309.470311,13.959033,6.466
20364340+1434133,309.180839,14.570369,6.952
20413281+1523090,310.386732,15.385854,6.093
20410944+1525290,310.289353,15.424749,6.611
20391076+1529007,309.794847,15.48353,6.504
20385009+1500262,309.708738,15.007284,6.418
20364777+1443511,309.199075,14.730875,6.637
20423111+1226030,310.629656,12.434173,6.065
20422007+1237578,310.58363,12.632741,5.561
20413765+1348314,310.406884,13.80874,6.455
20420443+1325085,310.518466,13.419043,6.211
20413069+1511386,310.377875,15.194062,6.792
20440842+1448011,311.035095,14.800322,6.044
20425469+1504584,310.727879,15.082903,6.873
20421657+1442130,310.569049,14.703638,6.878
20410968+1443439,310.290355,14.728883,6.965
21340580+1213378,323.5242,12.227172,6.54
21314056+1214422,322.919031,12.245072,5.758
21330298+1236303,323.26245,12.608427,6.684
21285830+1303335,322.242929,13.059315,6.376
21300845+1216145,322.535225,12.27072,6.521
21294106+1227010,322.421113,12.45029,6.768
21313574+1254267,322.898917,12.907438,6.914
21315109+1253378,322.962875,12.893836,6.134
21233538+1403007,320.897439,14.050197,6.852
21243962+1428345,321.165085,14.476272,5.701
21250415+1432224,321.267309,14.539582,6.259
21241227+1236591,321.051166,12.616427,6.058
21203354+1310010,320.139751,13.166946,6.969
21224213+1253260,320.675555,12.890576,6.809
21260533+1232147,321.522209,12.537438,6.975
21252420+1245251,321.350851,12.756993,6.31
21251877+1325392,321.328231,13.427577,6.945
21252172+1311285,321.340503,13.191277,6.826
21265699+1316549,321.737479,13.281917,6.951
21183196+1759164,319.633188,17.987902,6.447
21135150+1714145,318.464585,17.237383,6.351
21194355+1743153,319.931488,17.720917,6.284
21191121+1749201,319.796723,17.822256,5.94
21182525+1743149,319.605249,17.720816,5.556
21102480+1559476,317.603341,15.996558,6.582
21110975+1552431,317.79064,15.878646,6.283
21144537+1559438,318.689048,15.995515,6.623
21144616+1628450,318.692357,16.479187,6.33
21123989+1607244,318.166228,16.123446,6.422
21125322+1604521,318.221776,16.081148,6.504
21132879+1558567,318.369977,15.982422,5.77
21252597+1531450,321.358241,15.529193,5.888
21244179+1546540,321.174139,15.781686,6.472
21221298+1655059,320.554117,16.91831,5.845
21211297+1626294,320.304082,16.441526,6.959
21223759+1633224,320.656666,16.556231,6.059
21210882+1549478,320.286761,15.829971,5.674
21231433+1618049,320.809748,16.301371,6.834
21235686+1607153,320.986937,16.120932,6.843
21184240+1619159,319.676677,16.321104,5.752
21202001+1648415,320.083386,16.811529,6.638
21145408+1649170,318.725352,16.821415,6.483
21005367+1230251,315.22363,12.506973,6.693
21023798+1231524,315.658281,12.531243,6.86
21022973+1236010,315.623878,12.600305,6.338
21022109+1239019,315.58789,12.650547,6.096
21045261+1226416,316.219219,12.4449,6.912
21061170+1310568,316.548789,13.182449,6.701
21031914+1259288,315.829772,12.991357,6.935
21044538+1258463,316.189102,12.979547,6.06
21042577+1246334,316.107386,12.775948,6.255
21164774+1220025,319.19894,12.334032,6.792
21144224+1242444,318.676017,12.712345,6.722
21100841+1227295,317.535054,12.458207,6.194
21140177+1305219,318.507378,13.089421,6.353
21080788+1515081,317.032839,15.252273,6.53
21071795+1454227,316.824827,14.906318,6.893
21070547+1426470,316.772813,14.446406,6.299
21061916+1420589,316.579838,14.349705,5.79
21060852+1420348,316.535524,14.343015,6.414
21123272+1344023,318.136355,13.733989,6.644
21094672+1344174,317.444673,13.738193,6.098
21081535+1243402,317.063989,12.727839,5.85
21102926+1317039,317.621957,13.284443,6.863
21101822+1316502,317.575943,13.280627,6.804
21082302+1325238,317.09595,13.423296,5.449
21111282+1528131,317.803428,15.470306,6.836
21102887+1515090,317.62031,15.252515,5.516
21134458+1409013,318.435752,14.150374,6.729
21131789+1411585,318.324582,14.199608,6.831
21120486+1443056,318.020276,14.718226,5.675
21145288+1506368,318.720345,15.110226,6.056
21185703+1333576,319.73766,13.566003,6.054
21195150+1308338,319.964586,13.142744,6.486
21195408+1315298,319.97535,13.258297,6.843
21153220+1354280,318.884203,13.907798,6.223
21175177+1332187,319.465723,13.538533,5.625
21173727+1341571,319.405312,13.699211,6.735
21194362+1307135,319.931787,13.120443,6.781
21234180+1448424,320.924187,14.811783,5.917
21213356+1513004,320.389872,15.216783,6.631
21193504+1421131,319.896001,14.353647,6.467
21143810+1408319,318.658756,14.142207,6.064
21162330+1409446,319.097117,14.162411,5.947
17532843-2446277,268.368486,-24.77438,6.905
17543076-2513102,268.628192,-25.219515,6.694
17543890-2512584,268.662116,-25.216246,6.891
17534256-2513362,268.427358,-25.226732,6.986
17535767-2449484,268.490312,-24.830137,6.779
17545405-2453134,268.72521,-24.887083,5.969
17560745-2511521,269.03108,-25.197815,6.081
17561389-2447376,269.057907,-24.793798,6.974
17475259-2313163,266.969144,-23.221222,6.767
17471363-2337021,266.80681,-23.61727,6.322
17485075-2319374,267.211489,-23.327061,6.538
17481721-2318072,267.071737,-23.302019,6.982
17522839-2400067,268.118295,-24.001862,6.978
17511148-2351246,267.797866,-23.856848,6.477
17505895-2349521,267.745626,-23.831161,6.886
17511442-2349145,267.810098,-23.820696,6.967
17512808-2402497,267.867017,-24.047165,6.519
17510719-2353472,267.779975,-23.896452,7.0
17511369-2355144,267.807051,-23.92067,6.578
17500381-2357187,267.515908,-23.955215,6.646
17493630-2401372,267.401258,-24.027002,6.787
17475118-2347071,266.96328,-23.785318,6.651
17484082-2345516,267.170105,-23.764339,6.481
17492529-2354469,267.355381,-23.913029,6.614
17483886-2346260,267.161941,-23.773912,6.883
17481339-2419372,267.055797,-24.327019,6.116
17483508-2418561,267.146207,-24.315603,6.486
17482525-2430041,267.105219,-24.501156,6.597
17525683-2459445,268.236813,-24.995722,6.423
17511469-2500119,267.811218,-25.003319,6.222
17515828-2511389,267.992861,-25.194145,6.871
17512439-2452158,267.851633,-24.87108,6.984
17504285-2448524,267.678573,-24.814562,6.964
17531457-2449444,268.31071,-24.829018,6.672
17505602-2439489,267.733454,-24.663593,6.928
17092896-2421231,257.370692,-24.356443,6.789
17100448-2400492,257.518674,-24.013676,6.81
17131372-2408201,258.307167,-24.138927,6.704
17125549-2427408,258.231222,-24.461349,6.57
17123001-2414548,258.125079,-24.248558,6.412
17102962-2353180,257.623449,-23.888359,6.351
17190628-2547296,259.776193,-25.791574,6.798
17192638-2525037,259.859925,-25.417709,6.72
17153475-2407049,258.894828,-24.118042,6.404
17165768-2356581,259.24035,-23.949478,6.761
17193272-2435375,259.886337,-24.593763,6.9
17180711-2404228,259.529646,-24.073006,5.458
17184819-2454118,259.700825,-24.90328,6.335
17170058-2451169,259.252432,-24.85471,6.213
17172693-2445408,259.362216,-24.761337,6.684
17171028-2448504,259.292857,-24.814013,6.257
17142657-2354448,258.610737,-23.912449,6.731
17142497-2419204,258.604049,-24.322344,6.275
17153809-2408492,258.908738,-24.147017,6.999
17144416-2505311,258.684004,-25.091995,6.968
17155353-2500478,258.973054,-25.013292,6.162
17142800-2451585,258.616694,-24.866253,6.817
17140009-2432400,258.500394,-24.54447,6.5
17140425-2433396,258.517739,-24.561007,6.783
17154036-2453540,258.918201,-24.898342,6.716
17154079-2453595,258.919959,-24.899866,6.62
17320544-2850068,263.022696,-28.835245,6.659
17302386-2824376,262.599426,-28.410465,6.217
17311978-2834300,262.832454,-28.57502,6.256
17312177-2828414,262.840732,-28.478174,6.109
17274218-2748149,261.925755,-27.80414,6.738
17302559-2757078,262.606631,-27.952171,6.926
17314436-2616112,262.934848,-26.2698,6.153
17320401-2714123,263.016744,-27.236773,6.577
17295986-2635497,262.499443,-26.597162,6.367
17250988-2726453,261.291172,-27.445921,6.794
17261126-2630544,261.546958,-26.515121,6.916
17241764-2623226,261.073539,-26.389637,6.877
17233756-2702428,260.906533,-27.045246,6.415
17260338-2734589,261.514118,-27.583029,6.675
17262546-2731435,261.606094,-27.528774,6.94
17264113-2733497,261.671381,-27.56382,6.911
17273950-2740016,261.91462,-27.66713,6.644
17261253-2720245,261.55221,-27.340157,6.937
17281615-2724179,262.067298,-27.404991,6.39
17332825-2345581,263.367726,-23.766161,6.602
17325997-2336561,263.249885,-23.615608,6.868
17324343-2431129,263.180959,-24.520275,6.752
17305549-2405196,262.731219,-24.088793,6.647
17313801-2402114,262.908399,-24.03651,6.705
17303138-2331505,262.630751,-23.530708,6.177
17310156-2350099,262.756518,-23.836096,6.72
17304958-2350297,262.706617,-23.841589,6.743
17232935-2342385,260.872307,-23.710712,6.902
17263534-2433590,261.647274,-24.566416,6.907
17260639-2434388,261.526657,-24.577467,6.522
17261535-2419179,261.563967,-24.321663,6.525
17263104-2330447,261.629373,-23.512438,6.756
17245210-2342377,261.217108,-23.710487,6.431
17285392-2512547,262.224696,-25.215218,6.752
17294061-2449359,262.41924,-24.826654,6.703
17273634-2442488,261.901442,-24.713583,6.99
17285637-2444558,262.234887,-24.748846,6.62
17304363-2424363,262.681819,-24.410084,6.393
17304433-2418007,262.684709,-24.300196,6.671
17273419-2401170,261.892477,-24.021408,6.519
17283877-2530385,262.161548,-25.510695,6.314
17281298-2605488,262.054124,-26.096916,6.15
17265529-2556365,261.730411,-25.943495,6.469
17221352-2453151,260.55635,-24.887537,6.871
17201965-2438431,260.081878,-24.645325,6.904
17204834-2440221,260.201437,-24.672823,6.491
17211199-2450164,260.299974,-24.837906,6.922
17242663-2446177,261.110975,-24.771584,6.36
18285859-2004253,277.244148,-20.0737,6.117
18380966-2027287,279.540271,-20.457981,6.757
18373549-2001234,279.397882,-20.023188,6.584
18364711-2006300,279.196296,-20.108349,6.632
18372646-2011275,279.360289,-20.190998,6.392
18364927-2016492,279.205321,-20.28035,6.959
18363177-1937485,279.13241,-19.630165,5.81
18371364-1920499,279.306872,-19.347206,6.239
18361410-1920172,279.058779,-19.338127,6.835
18330202-2005474,278.258428,-20.096502,6.387
18333775-2000375,278.407299,-20.010437,6.267
18355270-2007415,278.969604,-20.128202,6.112
18345781-2013033,278.740905,-20.217609,6.52
18361487-1958047,279.061964,-19.967995,6.888
18352700-1801225,278.862528,-18.02294,6.891
18344732-1759059,278.697167,-17.984999,6.848
18362542-1754410,279.105925,-17.911394,6.454
18321157-1848444,278.048245,-18.812338,6.072
18315415-1840393,277.97563,-18.677591,6.543
18331009-1822062,278.292058,-18.368393,5.815
18334615-1825395,278.442302,-18.427647,6.837
18370603-1855383,279.275156,-18.927322,6.605
18371026-1846496,279.292758,-18.780466,6.37
18365627-1846598,279.234461,-18.783302,6.807
18364242-1818583,279.176781,-18.316214,6.128
18343983-1847482,278.665969,-18.796726,6.053
18351346-1847087,278.806091,-18.785751,6.159
18353676-1833020,278.903183,-18.550558,6.542
18351933-1831062,278.830556,-18.518394,6.779
18363951-1817295,279.164629,-18.291538,6.81
18345314-1810546,278.721425,-18.181835,6.499
18351779-1822235,278.824127,-18.373219,6.636
18354117-1855219,278.921553,-18.92277,5.674
18345869-1931573,278.744579,-19.53261,6.339
18351047-1919298,278.793645,-19.324947,6.911
18350464-1926281,278.769363,-19.441162,6.658
18314030-1927536,277.917945,-19.464907,6.346
18320521-1915313,278.021734,-19.258707,6.646
18323840-1906415,278.160018,-19.111553,6.453
18343174-1939478,278.632266,-19.663284,6.895
18330537-1953545,278.2724,-19.898497,6.948
18332277-1913383,278.344888,-19.227312,6.975
18485086-1139272,282.211917,-11.657574,6.162
18483921-1243052,282.163399,-12.718114,6.534
18482419-1246452,282.100801,-12.779247,6.44
18493626-1221396,282.40111,-12.361004,6.522
18502737-1144232,282.614078,-11.73978,6.792
18504401-1159380,282.683399,-11.99391,6.385
18505094-1158041,282.712264,-11.967828,6.489
18505285-1154316,282.720235,-11.908788,6.835
18495989-1216314,282.499546,-12.275413,6.557
18495781-1203059,282.490885,-12.051657,6.989
18494809-1409374,282.450416,-14.160398,6.67
18482127-1349130,282.088637,-13.820283,6.582
18485938-1354180,282.247448,-13.905011,6.978
18520504-1324365,283.021041,-13.41014,6.822
18522062-1310326,283.085941,-13.175746,6.589
18514664-1314232,282.944366,-13.239801,6.83
18481731-1330414,282.072147,-13.511514,6.859
18501387-1304127,282.55783,-13.0702,6.727
18500035-1319115,282.501473,-13.319863,6.542
18504008-1336590,282.667024,-13.616402,6.857
18501180-1342050,282.549182,-13.701399,6.682
18590849-1141009,284.785413,-11.683602,6.205
18571609-1207190,284.317059,-12.121946,6.613
18541587-1200179,283.566154,-12.00499,6.966
18550909-1142314,283.787909,-11.708749,6.391
18540542-1247548,283.522584,-12.798557,6.954
18542683-1227113,283.611799,-12.453146,6.85
18545502-1231396,283.729278,-12.527689,5.953
18552461-1206542,283.852582,-12.115069,6.319
18525518-1241530,283.229917,-12.698076,6.961
18520946-1250037,283.039429,-12.834364,6.978
18513373-1255412,282.890581,-12.928137,6.253
18522801-1153032,283.116714,-11.884225,6.383
18484864-1257387,282.202667,-12.960754,6.588
18494518-1258111,282.438287,-12.969754,6.853
18493801-1232387,282.408413,-12.544095,6.587
18512420-1219314,282.850869,-12.325401,6.095
18504620-1254423,282.692531,-12.911754,6.534
18522699-1230441,283.112497,-12.512268,6.327
18501658-1725241,282.56909,-17.423384,6.075
18511987-1709152,282.832826,-17.154238,6.0
18492831-1654524,282.367982,-16.914568,6.575
18524205-1617586,283.175216,-16.299627,6.381
18490202-1611036,282.258432,-16.184359,6.676
18513726-1620472,282.905252,-16.346445,5.99
18520388-1618402,283.016175,-16.311188,5.951
18515078-1630379,282.961592,-16.510529,6.238
18513908-1621211,282.912846,-16.355877,6.232
18502864-1636560,282.619373,-16.615562,6.485
18502275-1638372,282.594816,-16.643694,6.955
13015677-6301539,195.48657,-63.031666,6.42
13033430-6258104,195.89295,-62.969582,6.879
13010294-6313089,195.26226,-63.219166,6.48
13032229-6313537,195.842916,-63.231586,6.996
13235736-6423561,200.989,-64.398941,6.056
13240058-6404191,201.002456,-64.071983,6.982
13215272-6319303,200.469677,-63.3251,6.619
13170707-6327296,199.279495,-63.458233,6.211
13125614-6356094,198.233945,-63.935963,6.751
13154751-6405578,198.947964,-64.099396,6.858
13144440-6334518,198.685004,-63.581062,6.531
13152172-6352399,198.840532,-63.877773,6.612
13180686-6341136,199.528623,-63.687138,6.32
13165693-6356132,199.237216,-63.937019,5.976
13194633-6344251,199.943067,-63.740318,6.97
